scenario,window_size,throughput_mean_mbps
A,1,0.4098578709841451
A,2,0.8052102693466656
A,4,1.5635819675046925
A,8,3.00417712620294
A,16,5.701052882616297
A,32,10.677261966373026
A,64,19.69463325856625
B,1,0.014494552102231134
B,2,0.026943259986552465
B,4,0.030633826043875583
B,8,0.03172617377533281
B,16,0.03282359468243484
B,32,0.033814023548686956
B,64,0.031372720465417406
C,1,0.006152767587237049
C,2,0.011343995510711965
C,4,0.013037365885636063
C,8,0.013430934501622666
C,16,0.013944415585692701
C,32,0.013049619375637405
C,64,0.014063331629165472
